,genre,book_id,title,predicted_vote,rank,,,
31,food_cookbooks,43884186,The Adventurous Eaters Club: Mastering the Art of Family Mealtime,5684.916445,1,,,
32,food_cookbooks,41155069,"Happiness Is Baking: Cakes, Pies, Tarts, Muffins, Brownies, Cookies: Favorite Desserts from the Queen of Cake",4441.614402,2,,,
33,food_cookbooks,40645634,Notes from a Young Black Chef,4346.187115,3,,,
34,food_cookbooks,41948849,"Plant-Based on a Budget: Delicious Vegan Recipes for Under $30 a Week, for Less Than 30 Minutes a Meal",3896.915108,4,,,
35,food_cookbooks,41644326,Save Me the Plums: My Gourmet Memoir,3357.64045,5,,,
36,food_cookbooks,44429515,The Little Women Cookbook: Tempting Recipes from the March Sisters and Their Friends and Family,3246.456975,6,,,
37,food_cookbooks,42583941,Let's Make Ramen!: A Comic Book Cookbook,3140.350482,7,,,
38,food_cookbooks,43849324,Rachael Ray 50: Memories and Meals from a Sweet and Savory Life,2899.156528,8,,,
39,food_cookbooks,40796136,Indian-ish: Recipes and Antics from a Modern American Family,2318.334451,9,,,
40,food_cookbooks,39977443,Antoni in the Kitchen,2188.680969,10,,x,
41,graphic_novels_comics,43307358,"Heartstopper: Volume Two (Heartstopper, #2)",5008.894392,1,,,
42,graphic_novels_comics,38812893,"Paper Girls, Vol. 5",3579.470083,2,,,
43,graphic_novels_comics,42527866,They Called Us Enemy,2982.911674,3,,,
44,graphic_novels_comics,39296114,Book Love,2568.139253,4,,,
45,graphic_novels_comics,40864790,Pumpkinheads,2249.031691,5,,n,
46,graphic_novels_comics,38452813,Teen Titans: Raven,2130.981843,6,,,
47,graphic_novels_comics,40766383,The Handmaid's Tale: The Graphic Novel,1846.877545,7,,,
48,graphic_novels_comics,38524301,Shades of Magic Vol. 1: The Steel Prince,1518.298405,8,,,
49,graphic_novels_comics,21801668,"The Umbrella Academy, Vol. 3: Hotel Oblivion (The Umbrella Academy, #3)",826.3355793,9,,,
50,graphic_novels_comics,44774415,Mooncakes,794.0261491,10,,,
51,historical_fiction_books,42135029,City of Girls,16177.90144,1,,,
52,historical_fiction_books,41556734,The Lost Girls of Paris,10879.63716,2,,,
53,historical_fiction_books,40390766,The Huntress,10269.30507,3,,,
54,historical_fiction_books,40130093,Once Upon a River,9332.099771,4,,,
55,historical_fiction_books,40597810,Daisy Jones & The Six,9293.962241,5,,n,
56,historical_fiction_books,43925876,The Giver of Stars,7203.541315,6,,,
57,historical_fiction_books,43982054,The Water Dancer,5673.185469,7,,,
58,historical_fiction_books,42283286,Summer of '69,4614.590175,8,,,
59,historical_fiction_books,42279228,The Nickel Boys,4439.471577,9,,,
60,historical_fiction_books,44318414,The Dutch House,3587.791977,10,,,
61,history_biography_books,40538681,Midnight in Chernobyl: The Untold Story of the World's Greatest Nuclear Disaster,6448.627895,1,,,
62,history_biography_books,40163119,Say Nothing: A True Story of Murder and Memory in Northern Ireland,6209.130149,2,,,
63,history_biography_books,37570548,The Five: The Untold Lives of the Women Killed by Jack the Ripper,4803.144016,3,,~~n,
64,history_biography_books,40595446,A Woman of No Importance: The Untold Story of the American Spy Who Helped Win World War II,4197.711157,4,,,
65,history_biography_books,43821991,The Only Plane in the Sky: An Oral History of 9/11,3738.645192,5,,,
66,history_biography_books,39863169,The First Conspiracy: The Secret Plot to Kill George Washington,2370.819248,6,,,
67,history_biography_books,42201377,The Pioneers: The Heroic Story of the Settlers Who Brought the American Ideal West,2230.87634,7,,,
68,history_biography_books,44908411,Before and After: The Incredible Real-Life Stories of Orphans Who Survived the Tennessee Children's Home Society,2063.182016,8,,,
69,history_biography_books,40594422,First: Sandra Day O'Connor,1556.18228,9,,,
70,history_biography_books,41574287,The Heartbeat of Wounded Knee: Native America from 1890 to the Present,974.4805912,10,,,
71,horror_books,43798285,The Institute,14882.12159,1,,y,
72,horror_books,43522576,Imaginary Friend,3190.956946,2,,,
73,horror_books,43801817,Full Throttle,2212.850666,3,,,
74,horror_books,40065317,The Invited,2072.010798,4,,,
75,horror_books,40725252,Wakenhyrst,1803.548491,5,,,
76,horror_books,42527596,The Twisted Ones,1402.51953,6,,,
77,horror_books,44034616,The Lost Causes of Bleak Creek,1328.201764,7,,,
78,horror_books,42881101,The Girl in Red,1278.789693,8,,,
79,horror_books,43506916,A Cosmology of Monsters,1128.574761,9,,,
80,horror_books,42815544,Bunny,1050.62043,10,,,
81,humor_books,43908975,Small Doses,6597.19749,1,,,
82,humor_books,44600621,"Dear Girls: Intimate Tales, Untold Secrets, and Advice for Living Your Best Life",5601.046277,2,,~n,
83,humor_books,43885930,Life Will Be the Death of Me: . . . and You Too!,3533.600337,3,,,
84,humor_books,42060068,William Shakespeare's Much Ado About Mean Girls,2834.963323,4,,,
85,humor_books,41429806,"Riding the Elephant: A Memoir of Altercations, Humiliations, Hallucinations, and Observations",2734.303214,5,,,
86,humor_books,40983137,Southern Lady Code,2655.81333,6,,,
87,humor_books,43263670,Do You Mind If I Cancel? (Things That Still Annoy Me),2569.703523,7,,,
88,humor_books,44419612,A Woman First: First Woman: A Memoir,1914.418954,8,,,
89,humor_books,41188319,The Field Guide to Dumb Birds of North America,1867.827484,9,,,
90,humor_books,42506471,Hope Rides Again (Obama Biden Mysteries #2),1109.137798,10,,,
91,memoir_autobiography_books,46264398,Know My Name,11062.64992,1,,,
92,memoir_autobiography_books,44303730,Me,3822.569836,2,,,
93,memoir_autobiography_books,43386674,Over the Top: A Raw Journey to Self-Love,3458.360921,3,,~~n,
94,memoir_autobiography_books,40364332,"Inheritance: A Memoir of Genealogy, Paternity, and Love",3310.304493,4,,,
95,memoir_autobiography_books,44286431,Home Work: A Memoir of My Hollywood Years,3131.321968,5,,,
96,memoir_autobiography_books,43263491,Toil & Trouble,2352.64534,6,,,
97,memoir_autobiography_books,42202117,"From Scratch: A Memoir of Love, Sicily, and Finding Home",2265.446812,7,,,
98,memoir_autobiography_books,45167624,Inside Out,2209.720085,8,,,
99,memoir_autobiography_books,43682552,How We Fight For Our Lives,2131.01436,9,,,
100,memoir_autobiography_books,39218350,"Maid: Hard Work, Low Pay, and a Mother's Will to Survive",1243.477408,10,,,
101,mystery_thriller_books,40097951,The Silent Patient,22667.13291,1,,y,
102,mystery_thriller_books,39863488,The Lost Man,6453.771254,2,,,
103,mystery_thriller_books,42368604,Lock Every Door,5924.866833,3,,,
104,mystery_thriller_books,39863515,An Anonymous Girl,5835.463994,4,,,
105,mystery_thriller_books,41940236,The Whisper Man,5440.355534,5,,,
106,mystery_thriller_books,38819868,"My Sister, the Serial Killer",5216.782523,6,,,
107,mystery_thriller_books,42080142,The Turn of the Key,5188.991214,7,,,
108,mystery_thriller_books,39863405,The Mother-in-Law,3966.71717,8,,,
109,mystery_thriller_books,40697540,Run Away,3468.676397,9,,,
110,mystery_thriller_books,40121959,Miracle Creek,3378.956936,10,,,
111,nonfiction_books,37570546,"Maybe You Should Talk to Someone: A Therapist, Her Therapist, and Our Lives Revealed",9494.285386,1,,,
112,nonfiction_books,46650277,"Catch and Kill: Lies, Spies, and a Conspiracy to Protect Predators",7322.551161,2,,,
113,nonfiction_books,43848929,Talking to Strangers: What We Should Know about the People We Don't Know,6355.672285,3,,,
114,nonfiction_books,41066983,Stay Sexy & Don't Get Murdered: The Definitive How-To Guide,5576.417173,4,,,
115,nonfiction_books,40591267,"Girl, Stop Apologizing: A Shame-Free Plan for Embracing and Achieving Your Goals",4959.035008,5,,n,
116,nonfiction_books,40776644,The Moment of Lift: How Empowering Women Changes the World,4382.154897,6,,,
117,nonfiction_books,42201100,Three Women,3982.124733,7,,,
118,nonfiction_books,40574441,Everything Is F*cked: A Book About Hope,2983.711149,8,,,
119,nonfiction_books,44767249,She Said: Breaking the Sexual Harassment Story That Helped Ignite a Movement,2115.049824,9,,,
120,nonfiction_books,43231095,American Predator: The Hunt for the Most Meticulous Serial Killer of the 21st Century,1348.675374,10,,,
121,picture_books,42616620,A Beautiful Day in the Neighborhood: The Poetry of Mister Rogers,3446.810343,1,,y,
122,picture_books,42785750,Sulwe,3362.876753,2,,,
123,picture_books,41451728,We Are (Not) Friends,2873.346097,3,,,
124,picture_books,40944115,Hair Love,2756.198059,4,,,
125,picture_books,42931503,A Tiger Like Me,2153.346584,5,,,
126,picture_books,40221498,The Good Egg,1822.031049,6,,,
127,picture_books,41183554,A Piglet Named Mercy,1525.962926,7,,,
128,picture_books,43671848,Just Because,1416.585013,8,,,
129,picture_books,38595349,Unicorn Day,1178.997901,9,,,
130,picture_books,38791999,Because,915.3411496,10,,,
131,poetry_books,40519259,Shout,3238.528368,1,,y,
132,poetry_books,40680971,Empty Bottles Full of Stories,2886.247234,2,,,
133,poetry_books,40680973,The Mermaid's Voice Returns in This One,2645.492093,3,,,
134,poetry_books,41219132,Love Looks Pretty on You,2631.165418,4,,,
135,poetry_books,44157727,Great Goddesses: Life Lessons from Myths and Monsters,1877.477577,5,,,
136,poetry_books,40046136,A Bound Woman Is a Dangerous Thing: The Incarceration of African American Women from Harriet Tubman to Sandra Bland,1477.561883,6,,,
137,poetry_books,43453732,When You Ask Me Where I'm Going,1465.710416,7,,,
138,poetry_books,43124132,Life of the Party,1424.173347,8,,,
139,poetry_books,43838654,The Truth About Magic,1024.97216,9,,,
140,poetry_books,39656141,Lord of the Butterflies,980.3067603,10,,,
141,romance_books,42101728,"The Savior (Black Dagger Brotherhood, #17)",11946.77889,1,,,
142,romance_books,43225180,Verity,11211.27851,2,,,
143,romance_books,47946089,The Unhoneymooners,10822.58641,3,,,
144,romance_books,41450662,The Kiss Thief,10080.56625,4,,,
145,romance_books,47904396,"Red, White & Royal Blue",10036.50765,5,,n,
146,romance_books,39338454,"The Bride Test (The Kiss Quotient, #2)",7817.811738,6,,,
147,romance_books,39709060,"Pretty Reckless (All Saints High, #1)",6021.241258,7,,,
148,romance_books,41150287,The Flatshare,5915.178687,8,,,
149,romance_books,36117813,The Girl He Used to Know,5742.172594,9,,,
150,romance_books,41150382,Things You Save in a Fire,4487.777774,10,,,
151,science_fiction_books,28335698,"Tiamat's Wrath (The Expanse, #8)",7293.377217,1,,,
152,science_fiction_books,42046112,Recursion,5300.097317,2,,~n,
153,science_fiction_books,46347136,Exhalation,5213.75356,3,,,
154,science_fiction_books,37678631,"Dark Age (Red Rising Saga, #5)",4799.535831,4,,,
155,science_fiction_books,41093489,This Is How You Lose the Time War,3638.499008,5,,,
156,science_fiction_books,42260978,Machines Like Me,3514.909906,6,,,
157,science_fiction_books,42036538,"Gideon the Ninth (The Locked Tomb, #1)",3392.922703,7,,,
158,science_fiction_books,42201962,The Deep,2363.24237,8,,,
159,science_fiction_books,41824495,"Fall, Or Dodge in Hell",2341.900396,9,,,
160,science_fiction_books,41940388,The Test,1816.014057,10,,,
161,science_technology_books,40405444,Digital Minimalism: Choosing a Focused Life in a Noisy World,8249.250104,1,,,
162,science_technology_books,41104077,Invisible Women: Data Bias in a World Designed for Men,6113.536959,2,,,
163,science_technology_books,41552709,The Uninhabitable Earth: Life After Warming,4883.381631,3,,,
164,science_technology_books,43582376,The Body: A Guide for Occupants,3332.635995,4,,,
165,science_technology_books,43785830,Will My Cat Eat My Eyeballs?: Big Questions from Tiny Mortals About Death,2800.035757,5,,n,
166,science_technology_books,40180060,Mama's Last Hug: Animal Emotions and What They Tell Us about Ourselves,2557.992851,6,,,
167,science_technology_books,41817481,Underland,2332.71235,7,,,
168,science_technology_books,43852758,How To: Absurd Scientific Advice for Common Real-World Problems,2246.330811,8,,,
169,science_technology_books,43565381,We Are the Weather: Saving the Planet Begins at Breakfast,2139.907893,9,,,
170,science_technology_books,44526650,"Crisis in the Red Zone: The Story of the Deadliest Ebola Outbreak in History, and of the Outbreaks to Come",1395.801124,10,,,
171,young_adult_fantasy_books,36538785,"Queen of Air and Darkness (The Dark Artifices, #3)",11233.30406,1,,,
172,young_adult_fantasy_books,38237340,"The Wicked King (The Folk of the Air, #2)",10067.84591,2,,~n,
173,young_adult_fantasy_books,39804936,"King of Scars (Nikolai Duology, #1)",7280.132063,3,,,
174,young_adult_fantasy_books,30075662,"Aurora Rising (The Aurora Cycle, #1)",6273.95117,4,,,
175,young_adult_fantasy_books,43204703,"A Curse So Dark and Lonely (Cursebreakers, #1)",5268.69068,5,,,
176,young_adult_fantasy_books,42201395,Sorcery of Thorns,4275.921727,6,,,
177,young_adult_fantasy_books,40381392,"Finale (Caraval, #3)",3564.10419,7,,,
178,young_adult_fantasy_books,44017627,"Wayward Son (Simon Snow, #2)",2992.893414,8,,,
179,young_adult_fantasy_books,37632682,"The Toll (Arc of a Scythe, #3)",2964.013117,9,,,
180,young_adult_fantasy_books,42505366,Wilder Girls,2035.397377,10,,,
181,young_adult_fiction_books,35887567,On the Come Up,10599.64372,1,,,
182,young_adult_fiction_books,38225791,Two Can Keep a Secret,8438.410819,2,,,
183,young_adult_fiction_books,38926328,Five Feet Apart,6963.724463,3,,~~n,
184,young_adult_fiction_books,39893545,"The Vanishing Stair (Truly Devious, #2)",4750.306006,4,,,
185,young_adult_fiction_books,43220998,The Fountains of Silence,4693.445649,5,,,
186,young_adult_fiction_books,41154268,With the Fire on High,4626.664179,6,,,
187,young_adult_fiction_books,41473872,I Wish You All the Best,3156.100945,7,,,
188,young_adult_fiction_books,42245770,The Rest of the Story,2269.173493,8,,,
189,young_adult_fiction_books,41147279,"Again, but Better",2173.913352,9,,,
190,young_adult_fiction_books,43744300,"American Royals (American Royals, #1)",1376.27145,10,,,
,,,,,,,,
,,,,,,,,
,,,,,,,6,y
,,,,,,,4,~n
,,,,,,,3,~~n
,,,,,,,6,n
,,,,,,,1,x
